source_paragraph,target_paragraph,context,regulation_id,section_id
4.2,4.1,The appropriate steps referred to in paragraph 4.1 shall include – (a) documenting the bank’s risk assessments; (b) considering al,MAS-626,MAS-626-S4
5.3,5.1,"A bank shall, in complying with the requirements of paragraphs 5.1 and 5.2, pay special 8 attention to any - (a) new products and new business practices,",MAS-626,MAS-626-S5
5.3,5.2,"A bank shall, in complying with the requirements of paragraphs 5.1 and 5.2, pay special 8 attention to any - (a) new products and new business practices,",MAS-626,MAS-626-S5
6.4,6.3,"asures provided for in this Notice in re lation to the circumstances set out in paragraphs 6.3(b) or (d), the bank shall treat the transactions as a single transaction and ag",MAS-626,MAS-626-S6
6.6,6.5,"For the purposes of paragraph 6.5, a bank shall obtain at least the following information: (a) where the customer",MAS-626,MAS-626-S6
6.8B,6.8A,The bank shall document the results of the assessment in paragraph 6.8A(a) and all the measures taken under paragraph 6.8A(b). (II) Verification of Ide,MAS-626,MAS-626-S6
6.8B,6.8A,results of the assessment in paragraph 6.8A(a) and all the measures taken under paragraph 6.8A(b). (II) Verification of Identity of Customer,MAS-626,MAS-626-S6
6.11B,6.11A,"the bank has obtained the business address of the natural person referred to in paragraph 6.11A, the bank shall take reasonable measures to verify the business address using r",MAS-626,MAS-626-S6
6.11C,6.11A,The bank shall document the results of the assessment in paragraph 6.11A(a) and all the measures taken under paragraph 6.11A(b).,MAS-626,MAS-626-S6
6.11C,6.11A,esults of the assessment in paragraph 6.11A(a) and all the measures taken under paragraph 6.11A(b).,MAS-626,MAS-626-S6
6.13,6.16,"Subject to paragraph 6.16, a bank shall inquire if there exists any beneficial owner in relation to a cus",MAS-626,MAS-626-S6
6.14A,6.14,"For the purposes of paragraph 6.14, the bank shall obtain at least the following information: (a) where the person",MAS-626,MAS-626-S6
6.14A,6.14,"btain at least the following information: (a) where the person identified under paragraph 6.14 is a natural person, his or her – (i) full name, including any aliases; (ii) un",MAS-626,MAS-626-S6
6.14A,6.14,(iv) date of birth; and (v) nationality. (b) where the person identified under paragraph 6.14 is a legal person or legal arrangement – (i) its full name; (ii) its incorporat,MAS-626,MAS-626-S6
6.14B,6.14,"ll take reasonable steps to verify the identity of each person identified under paragraph 6.14 using reliable, independent source data, documents or information. For each per",MAS-626,MAS-626-S6
6.14B,6.14,"pendent source data, documents or information. For each person identified under paragraph 6.14 that is a legal person or legal arrangement, a bank shall verify the legal form",MAS-626,MAS-626-S6
6.14D,6.14C,The bank shall document the results of the assessment in paragraph 6.14C(a) and all the measures taken under paragraph 6.14C(b). [MAS Notice 626 (Amendm,MAS-626,MAS-626-S6
6.14D,6.14C,esults of the assessment in paragraph 6.14C(a) and all the measures taken under paragraph 6.14C(b). [MAS Notice 626 (Amendment) 2025],MAS-626,MAS-626-S6
